event_name,start_date,end_date,venue,latitude,longitude,region
Dublin City Council St Patrick's Festival Treasure Hunt,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Dublin City Council,53.3449733,-6.2707241,Dublin
Dublin Comic Con Summer Edition 2026,2026-08-08T00:00:00Z,2026-08-09T00:00:00Z,The Convention Centre Dublin,53.3478621,-6.2395809,Dublin
Dundalk Comic Con 2026,2026-07-05T00:00:00Z,2026-07-05T00:00:00Z,"Fairways Hotel, Dundalk",53.9675971,-6.3873934,Louth
Dundalk Photographic Society Exhibition 2026,2026-04-11T00:00:00Z,2026-04-25T00:00:00Z,An Táin Arts Centre,54.0045323,-6.400592899999999,Louth
Easter 2026 at Clonfert Farm,2026-03-28T00:00:00Z,2026-04-05T00:00:00Z,Clonfert Farm,53.3618657,-6.6745734,Kildare
Easter Family Adventure at Kildare Farm Foods,2026-03-30T00:00:00Z,2026-04-04T00:00:00Z,Kildare Farm Foods,53.1262731,-6.9570373,Kildare
"Ecce Homo by Titian, National Gallery Dublin",2026-03-31T00:00:00Z,2026-03-31T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Éire to Everywhere: Stories Without Borders with Nuala O'Connor,2026-06-16T00:00:00Z,2026-06-16T00:00:00Z,EPIC The Irish Emigration Museum,53.3483124,-6.2481792,Dublin
Éire to Everywhere: Stories Without Borders with Oisín Fagan,2026-03-24T00:00:00Z,2026-03-24T00:00:00Z,EPIC The Irish Emigration Museum,53.3483124,-6.2481792,Dublin
Embroidery Workshop: Make an Irish Celtic Knot,2026-03-11T00:00:00Z,2026-03-11T00:00:00Z,"National Museum of Ireland, Kildare Street",53.3402225,-6.2549209,Dublin
Evening: Born to Dance by Kerry School of Music Dance Academy,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Fair Deal,2026-03-03T00:00:00Z,2026-03-28T00:00:00Z,Abbey Theatre,53.3483986,-6.257178199999999,Dublin
Faulty Towers The Dining Experience,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,The Dropping Well,53.30780290000001,-6.2545606,Dublin
Fiona Marron—The centrality of bodies,2026-03-12T00:00:00Z,2026-03-28T00:00:00Z,Pallas Projects/Studios,53.3389205,-6.2745307,Dublin
Flowers and Friendship Bracelets,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,The Everyman,51.9011156,-8.4683303,Cork
Francis Rossi,2026-04-13T00:00:00Z,2026-04-13T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Frontlines: Irish Journalists Abroad,2026-01-30T00:00:00Z,2026-03-31T00:00:00Z,EPIC The Irish Emigration Museum,53.3483124,-6.2481792,Dublin
Galway Comic Con 2026,2026-06-14T00:00:00Z,2026-06-14T00:00:00Z,Dexcom Stadium,53.2789873,-9.039005999999999,Galway
Gerard Byrne: An Artist's Eye | Exhibition,2026-02-14T00:00:00Z,2026-03-22T00:00:00Z,Gerard Byrne Gallery,53.3437192,-6.262137999999999,Dublin
Get Shamrocked!,2026-03-14T00:00:00Z,2026-03-16T00:00:00Z,Dublin City,53.3498053,-6.2603097,Dublin
Goethe Choir presents Stabat Mater by Karl Jenkins,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Christ Church Cathedral,53.34351299999999,-6.2710602,Dublin
Grace,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Grace by Jody O'Neill,2026-05-20T00:00:00Z,2026-05-21T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
Hothouse Flowers,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
I'm Grand Mam - Happy Campers,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
In the Footsteps of St Patrick,2026-03-14T00:00:00Z,2026-03-16T00:00:00Z,"Irlanda Oculta, The Tree of Gold",53.3443804,-6.2632213,Dublin
Ireland Card Show 2026,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,InterContinental Dublin by IHG,53.326698,-6.226029899999999,Dublin
Irish Baking Experience,2026-03-15T00:00:00Z,2026-03-21T00:00:00Z,Drumdeel,52.4457718,-7.677380499999999,Tipperary
Irish Heritage Recital - BVOF 2026,2026-05-29T00:00:00Z,2026-05-29T00:00:00Z,Salterbridge House,52.14926089999999,-7.880488999999999,Waterford
Irish Salon Opera Series: The Deserted Village by John William Glover,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,"St Carthage's Cathedral, Church of Ireland",52.1398345,-7.9293394,Waterford
Irish Writers’ Series: Samuel Beckett,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,"St Carthage's Cathedral, Church of Ireland",52.1398345,-7.9293394,Waterford
Jack Patrick Healy - Orange is in the new Jack,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
James McMurtry,2026-10-04T00:00:00Z,2026-10-04T00:00:00Z,Whelan's,53.33658,-6.265715,Dublin
Japanese Film Festival,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,An Táin Arts Centre,54.0045323,-6.400592899999999,Louth
Jarlath Regan Gas Man,2026-03-20T00:00:00Z,2026-03-20T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Jason Byrne Head In The Clouds,2026-04-12T00:00:00Z,2026-04-12T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Joe Stilgoe and the RTÉ CO Present: A Night at the Movies,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
Joe the Magician - Live,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Joe the Magician - Live,2026-03-14T00:00:00Z,2026-03-15T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
K-Pop Camp,2026-04-01T00:00:00Z,2026-04-02T00:00:00Z,Malahide Castle & Gardens,53.44457670000001,-6.1655167,Dublin
Kim Crowley: Residency & Exhibition,2026-03-05T00:00:00Z,2026-05-03T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Kinsale St. Patrick's Day Parade 2026,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,Kinsale,51.7058853,-8.5222327,Cork
Kinsale St. Patrick's Maritime Parade 2026,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,Kinsale,51.7060502,-8.5225014,Cork
Knockbride Festival Family Fun Day,2026-08-16T00:00:00Z,2026-08-16T00:00:00Z,Scoil Maodhóg East Knockbride National School,53.9875971,-6.994836299999999,Cavan
Kyla Cobbler - Not My Lemons,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Kyla Cobbler: Not My Lemons,2026-04-02T00:00:00Z,2026-04-02T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Lahinch Trad Festival 2026,2026-04-17T00:00:00Z,2026-04-19T00:00:00Z,Lahinch,52.9334632,-9.3440769,Clare
Let's Dance,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,An Táin Arts Centre,54.0045323,-6.400592899999999,Louth
Lewis Barfoot at The Cat & Cage Club,2026-03-25T00:00:00Z,2026-03-25T00:00:00Z,Cat and Cage,53.3711919,-6.2532521,Dublin
Listowel Writers' Week 2026,2026-05-27T00:00:00Z,2026-05-31T00:00:00Z,Listowel,52.4447194,-9.487087899999999,Kerry
Live in the Marquee at Carndonagh,2026-07-10T00:00:00Z,2026-07-12T00:00:00Z,Carndonagh,55.2510972,-7.261797,Donegal
LoGaCulture Concert: “Music from the Boyne Valley” and DreaMR,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,"Whyte Recital Hall, Royal Irish Academy of Music",53.3423388,-6.2501342,Dublin
Lón le Gaeilge – Lunch with Irish,2026-02-05T00:00:00Z,2026-06-04T00:00:00Z,Siamsa Tíre,52.26568169999999,-9.706378899999999,Kerry
Macbeth - Volta Theatre Company,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Magdalene Ho & Friends: French Elegance & Eastern Fire,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z,Dromore Yard,52.0655322,-7.869051599999999,Waterford
Mammy Mia! Here We Go Again,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,The Sugar Club,53.3355007,-6.2566432,Dublin
Margins: Fine art Photography by Michael Corrigan,2026-03-05T00:00:00Z,2026-04-04T00:00:00Z,SO Fine Art Editions,53.342295,-6.262154799999999,Dublin
Matinee: Born to Dance by Kerry School of Music Dance Academy,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Metronome: Paul G. Smyth; Joanna Mattrey,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
Mícheál Ó Cléirigh Summer School 2026,2026-05-08T00:00:00Z,2026-05-10T00:00:00Z,The Franciscan Friary - Rossnowlagh,54.546667,-8.205543,Donegal
Mike Denver & Guests In Concert,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Mike Rice: Cruel Little Man,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,Vicar Street,53.34267639999999,-6.2778366,Dublin
Mozartly Mozart! BVOF 2026 Recital Waterford,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,Woodhouse Estate,52.12525249999999,-7.4800112,Waterford
Music Network presents Théo Ould & Alison Langer,2026-04-02T00:00:00Z,2026-04-02T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
3 Hail Marys,2026-05-08T00:00:00Z,2026-05-09T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
Nathan Carter,2026-04-17T00:00:00Z,2026-04-17T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
"National Symphony Orchestra Ireland, Conductor David Brophy & Uilleann Piper Mark Redmond",2026-03-26T00:00:00Z,2026-03-26T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Navan Comic Con 2026,2026-11-01T00:00:00Z,2026-11-01T00:00:00Z,"Newgrange Hotel, Navan",53.65188819999999,-6.682937099999999,Meath
Needle Felting Workshop,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,The Pearse Centre,53.3450737,-6.2534374,Dublin
New Ross Piano Festival 20th Year Celebration,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
NSOI: Alexander Shelley conducts,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
Of Mornington by Billy Roche,2026-04-02T00:00:00Z,2026-04-04T00:00:00Z,Wexford Arts Centre,52.3397212,-6.464063599999999,Wexford
Of Mornington by Billy Roche,2026-04-14T00:00:00Z,2026-04-18T00:00:00Z,"Smock Alley Theatre, 1662",53.3450078,-6.269166299999999,Dublin
Of Mornington by Billy Roche - Matinee,2026-04-04T00:00:00Z,2026-04-04T00:00:00Z,Wexford Arts Centre,52.3397212,-6.464063599999999,Wexford
Orchestral Escapades with NSOI,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
Paddy's Eve at Pygmalion with Jayda G & Henrik Schwarz,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,Pygmalion,53.3421287,-6.2621742,Dublin
Paper Puppet Making for 5-10yrs -  Ceardlann puipeád,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Pas de Panique,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
Patrick McDonnell (Fr Ted) plus Guests,2026-03-28T00:00:00Z,2026-03-28T00:00:00Z,City Limits - The Cork Comedy Club,51.9018264,-8.470619899999999,Cork
Psychic Sally,2026-03-11T00:00:00Z,2026-03-11T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
QHI Music Quiz,2026-02-19T00:00:00Z,2026-04-16T00:00:00Z,Cleary's Pub,53.35218279999999,-6.2497095,Dublin
Quizhost Ireland Big Screen Movie Quiz,2026-02-26T00:00:00Z,2026-07-23T00:00:00Z,Cleary's Pub,53.35218279999999,-6.2497095,Dublin
Qween & The Dublin Gospel Choir,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Randy Feltface: Gimmick,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,Vicar Street,53.34267639999999,-6.2778366,Dublin
RDS Collins Memorial Recital,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z,"St Carthage's Cathedral, Church of Ireland",52.1398345,-7.9293394,Waterford
Regina Hanley & The Wolseley Singers with special guest Michael English,2026-04-02T00:00:00Z,2026-04-02T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
Roscrea Goes Green - St Patrick’s Day Parade 2026,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,"Main Street, Roscrea",52.9554226,-7.7992473,Tipperary
"Self Portrait by Gwen John, National Portrait Gallery London",2026-04-07T00:00:00Z,2026-04-07T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Serena Terry: Therapy,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Simon Yates Pleasure & Pain Presented by Speakers from the Edge,2026-04-13T00:00:00Z,2026-04-13T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Simple Things,2026-05-02T00:00:00Z,2026-05-02T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Sligo St. Patrick's Festival,2026-03-13T00:00:00Z,2026-03-17T00:00:00Z,"Queen Maeves Square, Sligo",54.2718062,-8.4731925,Sligo
Sneem St Patrick’s Day Parade,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,Sneem,51.8373942,-9.8983245,Kerry
Spéirbhean | Sky Woman,2026-03-14T00:00:00Z,2026-03-15T00:00:00Z,Wolfe Tone Park,53.3481028,-6.2667014,Dublin
Spraoí at the Helix - A St. Patrick’s Show,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,The Helix,53.3864373,-6.259149400000001,Dublin
St. Patrick's Festival Dublin 2026,2026-03-14T00:00:00Z,2026-03-17T00:00:00Z,Dublin,53.3498053,-6.2603097,Dublin
Kilkenny St. Patrick's Festival 2026,2026-03-14T00:00:00Z,2026-03-17T00:00:00Z,Kilkenny,52.6549027,-7.246402900000001,Kilkenny
St.Patrick's Dancing Weekend: Jack Keogh Dance,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
St.Patrick's Dancing Weekend: Jimmy Buckley Dance,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
St.Patrick's Dancing Weekend: Stuart Moyles Dance,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
St Patrick's Festival Parade Dublin,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,Dublin City,53.3498053,-6.2603097,Dublin
St Patrick's Weekend Special with St Patser Murray & Guests,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,City Limits - The Cork Comedy Club,51.9018264,-8.470619899999999,Cork
St Patrick's Weekend Special with The Best of Cork,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,City Limits - The Cork Comedy Club,51.9018264,-8.470619899999999,Cork
Stories & Crafts for 4-10yrs  - Scealaíocht & Cearadíocht,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Suktinis,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,St Stephen's Green Bandstand,53.3368301,-6.2595386,Dublin
"Symphony in White, No. 2: The Little White Girl by James McNeill Whistler, Tate Britain London",2026-04-14T00:00:00Z,2026-04-14T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Tara Erraught: Arias and Lieder Recital,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z,Ballynatray Demesne,52.0043819,-7.8870189,Waterford
The Bee Gees Story - Nights On Broadway,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
The Best of Cork Winter Series,2026-01-30T00:00:00Z,2026-03-27T00:00:00Z,City Limits - The Cork Comedy Club,51.9018264,-8.470619899999999,Cork
The Billy Joel Songbook,2026-03-28T00:00:00Z,2026-03-28T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
The Bloody Stream Shenanigans!,2026-03-13T00:00:00Z,2026-03-17T00:00:00Z,The Bloody Stream,53.3889995,-6.0742026,Dublin
The Carpenters Experience,2026-03-29T00:00:00Z,2026-03-29T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
The Cúpla Focal Tour,2026-03-14T00:00:00Z,2026-03-17T00:00:00Z,EPIC The Irish Emigration Museum,53.3483124,-6.2481792,Dublin
The Dawson Chorus Pop Choir,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,"Parliament Street, Dublin",53.3447504,-6.2674142,Dublin
The Dubliners Encore,2026-04-12T00:00:00Z,2026-04-12T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
The Dubliners Encore,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
The Easter Bunny's Big Surprise,2026-04-03T00:00:00Z,2026-04-06T00:00:00Z,Secret Valley ,52.4267921,-6.7547637,Wexford
The Gaeilge Guide,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,LexIcon Library and Cultural Centre,53.29294470000001,-6.131842499999999,Dublin
The Gralton Big Band,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
The Kilfenora Céilí Band and Guests,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,National Concert Hall,53.3346479,-6.2587823,Dublin
The Kings of Irish Country Show,2026-04-07T00:00:00Z,2026-04-07T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
The Mersey Beatles,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
The Mersey Beatles,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
The Music of The Lord of The Rings. Tribute to Howard Shore,2026-04-03T00:00:00Z,2026-04-03T00:00:00Z,O'Reilly Theatre,53.3558017,-6.261491299999999,Dublin
The Plough and The Stars,2026-03-03T00:00:00Z,2026-04-30T00:00:00Z,Abbey Theatre,53.3483986,-6.257178199999999,Dublin
The Pulze Festival 2026,2026-06-13T00:00:00Z,2026-06-14T00:00:00Z,Enniscorthy,52.5031703,-6.5731293,Wexford
The Quiet Men,2026-02-23T00:00:00Z,2026-03-14T00:00:00Z,Bewleys Cafe Theatre,53.3418082,-6.260657,Dublin
Theatre Nights presented by The Light Opera Society of Tralee,2026-03-14T00:00:00Z,2026-03-15T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Through her Eyes: Love and Loss Recital,2026-05-27T00:00:00Z,2026-05-27T00:00:00Z,Tourin House,52.1202193,-7.864168400000001,Waterford
Top 8 Hip Hop & Street Dance Festival,2026-03-26T00:00:00Z,2026-03-29T00:00:00Z,Limerick,52.663839,-8.626729899999999,Limerick
"Top of the Hill by Grace Henry, Limerick Gallery of Art",2026-03-24T00:00:00Z,2026-03-24T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Tuesdays with Morrie by Mitch Albom presented by Breda Cashe and Pat Moylan,2026-04-04T00:00:00Z,2026-04-04T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Uisce Álainn 2026,2026-05-02T00:00:00Z,2026-05-02T00:00:00Z,Doorly Park,54.2689311,-8.456528,Sligo
usual and generous ways,2026-02-28T00:00:00Z,2026-04-26T00:00:00Z,Galway Arts Centre,53.2709115,-9.0573006,Galway
"Watersongs - Niamh O'Sullivan, Gary Beecher Concert",2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,Dromore Yard,52.0655322,-7.869051599999999,Waterford
West Wicklow Chamber Music Festival,2026-05-20T00:00:00Z,2026-05-24T00:00:00Z,Blessington,53.1696579,-6.534068700000001,Wicklow
The 62nd Wexford Drama Festival,2026-03-20T00:00:00Z,2026-03-27T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Wexford Light Opera Society Jesus Christ Superstar ,2026-04-27T00:00:00Z,2026-05-02T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
When Forests Sing,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,Lismore Heritage Centre,52.1370902,-7.932667699999999,Waterford
Wild Swimming,2026-03-18T00:00:00Z,2026-04-04T00:00:00Z,Bewleys Cafe Theatre,53.3418082,-6.260657,Dublin
Wild Women Wellness and Sauna,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,Laragh,53.0089293,-6.3004389,Wicklow
Easter Treasure Hunt Schull Regatta,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,Schull Playground,51.5265207,-9.5442418,Cork
Schull Regatta Festival 2026,2026-08-08T00:00:00Z,2026-08-09T00:00:00Z,Schull Pier,51.5267627,-9.5451619,Cork
Skellig Coast Dark Sky Festival 2026,2026-03-20T00:00:00Z,2026-03-22T00:00:00Z,Tech Amergin,51.82958499999999,-10.172331,Kerry
Cork on a Fork Fest 2026,2026-08-12T00:00:00Z,2026-08-16T00:00:00Z,Cork City,51.8987528,-8.4706315,Cork
International Literature Festival Dublin 2026,2026-05-15T00:00:00Z,2026-05-24T00:00:00Z,Merrion Square Park,53.3396722,-6.249213399999999,Dublin
MONSTER,2026-03-13T00:00:00Z,2026-03-14T00:00:00Z,"Smock Alley Theatre, 1662",53.3450078,-6.269166299999999,Dublin
Celine Byrne - Songs of Inspiration & Hope,2026-05-22T00:00:00Z,2026-05-22T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
Sinderella - Gagging for a Ball,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
The Summer Country Show,2026-05-25T00:00:00Z,2026-05-25T00:00:00Z,VISUAL Carlow,52.838161,-6.9278619,Carlow
LOINNIR presented by Céim Arts,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
International Festival of Time Waterford 2026,2026-05-22T00:00:00Z,2026-05-24T00:00:00Z,Waterford Treasures: Medieval Museum,52.2599757,-7.107011,Waterford
Vittorio Angelone 'you can’t Say Nothing any more',2026-04-25T00:00:00Z,2026-04-25T00:00:00Z,National Opera House,52.3380334,-6.4621603,Wexford
Smithwick's Experience Kilkenny St Patrick's Festival,2026-03-14T00:00:00Z,2026-03-17T00:00:00Z,Smithwick's Experience,52.6543481,-7.2542673,Kilkenny
Adult Board Games Social Night,2026-03-11T00:00:00Z,2026-03-11T00:00:00Z,This Must Be The Place,53.34670699999999,-6.280046599999999,Dublin
Retro Ibiza Rave,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,Crown Live,52.3415989,-6.4626639,Wexford
High School Musical JR ,2026-03-27T00:00:00Z,2026-03-28T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Joe The Magician – Live,2026-03-29T00:00:00Z,2026-03-29T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Adult Seasonal Flower Arranging with Maura's Cottage,2026-04-01T00:00:00Z,2026-04-01T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Gavin James,2026-05-03T00:00:00Z,2026-05-03T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Niall McCabe,2026-05-03T00:00:00Z,2026-05-03T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Bingo Loco,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
